RK2_Ek	RK2_Ep	RK2_Et	RK4_Ek	RK4_Ep	RK4_Et
4,29	121,88	126,17	4,24	121,03	125,27
1,73	124,49	126,22	1,70	123,62	125,32
0,32	125,93	126,25	0,30	125,04	125,34
0,03	126,22	126,25	0,04	125,31	125,35
0,87	125,37	126,23	0,90	124,43	125,33
2,83	123,37	126,20	2,90	122,39	125,29
5,95	120,19	126,14	6,06	119,17	125,23
10,25	115,81	126,05	10,41	114,74	125,15
15,76	110,19	125,95	15,97	109,07	125,04
22,51	103,32	125,83	22,75	102,16	124,91
30,49	95,21	125,69	30,75	94,01	124,76
39,64	85,91	125,55	39,89	84,69	124,58
49,84	75,55	125,39	50,05	74,33	124,38
60,88	64,35	125,23	61,02	63,16	124,17
72,47	52,61	125,08	72,46	51,50	123,95
84,15	40,79	124,94	83,95	39,79	123,73
95,42	29,41	124,83	94,96	28,56	123,52
105,64	19,10	124,74	104,89	18,44	123,33
114,19	10,49	124,68	113,13	10,03	123,16
120,46	4,19	124,66	119,12	3,93	123,05
123,99	0,66	124,66	122,40	0,58	122,98
124,49	0,19	124,68	122,74	0,23	122,97
121,92	2,81	124,73	120,10	2,92	123,02
116,47	8,32	124,79	114,68	8,44	123,12
108,57	16,29	124,87	106,90	16,37	123,27
98,79	26,17	124,96	97,29	26,16	123,45
87,76	37,32	125,07	86,46	37,20	123,66
76,11	49,09	125,20	75,03	48,85	123,88
64,42	60,92	125,34	63,54	60,57	124,11
53,14	72,34	125,48	52,44	71,88	124,33
42,63	83,00	125,62	42,08	82,45	124,53
33,12	92,64	125,76	32,69	92,02	124,71
24,77	101,12	125,89	24,43	100,44	124,87
17,64	108,37	126,01	17,38	107,64	125,01
11,76	114,36	126,11	11,54	113,58	125,13
7,09	119,11	126,20	6,93	118,29	125,21
3,63	122,63	126,26	3,51	121,78	125,28
1,33	124,98	126,31	1,25	124,08	125,33
0,16	126,17	126,33	0,13	125,21	125,35
0,12	126,21	126,33	0,15	125,20	125,35
1,20	125,11	126,31	1,29	124,04	125,32
3,41	122,85	126,26	3,57	121,71	125,28
6,78	119,41	126,20	7,02	118,19	125,21
11,35	114,76	126,11	11,67	113,46	125,12
17,13	108,87	126,01	17,53	107,48	125,01
24,15	101,73	125,88	24,62	100,26	124,87
32,39	93,35	125,74	32,91	91,81	124,71
41,78	83,81	125,59	42,32	82,22	124,53
52,19	73,24	125,43	52,70	71,63	124,33
63,39	61,89	125,28	63,81	60,31	124,12
75,04	50,09	125,13	75,31	48,59	123,90
86,69	38,31	124,99	86,73	36,94	123,68
97,79	27,10	124,89	97,54	25,93	123,47
107,71	17,09	124,80	107,11	16,18	123,28
115,82	8,93	124,75	114,84	8,29	123,13
121,55	3,19	124,73	120,19	2,83	123,02
124,44	0,30	124,74	122,77	0,21	122,97
124,27	0,50	124,77	122,36	0,62	122,97
121,05	3,76	124,82	119,00	4,03	123,04
115,03	9,85	124,88	112,96	10,19	123,15
106,67	18,29	124,96	104,67	18,64	123,31
96,56	28,50	125,06	94,70	28,80	123,50
85,34	39,84	125,18	83,67	40,04	123,72
73,63	51,68	125,31	72,18	51,76	123,94
61,98	63,46	125,45	60,75	63,42	124,16
50,84	74,75	125,59	49,80	74,58	124,38
40,52	85,21	125,73	39,66	84,91	124,58
31,25	94,62	125,87	30,54	94,21	124,75
